"","Region","Year","PopTotal","GDPTotal","CarbonTotal","GDP","CO2","Tech"
"114"," Canada",1971,21785.605,273669151103.676,96157000,12561.925689173,4.41378607571376,3.51362218255913
"115"," Canada",1972,22137.281,289389480456.55,103937000,13072.4943346272,4.69511138246834,3.59159565289055
"116"," Canada",1973,22484.01,311131377280.525,104069000,13837.8953434252,4.62857826517601,3.34485711179713
"117"," Canada",1974,22818.515,324129909547.229,106346000,14204.689023244,4.66051362238077,3.2809684286326
"118"," Canada",1975,23135.845,331218830563.096,108302000,14316.2625165882,4.6811344042113,3.26980201626456
"119"," Canada",1976,23435.183,349240279811.247,108895000,14902.3918358669,4.64664602789746,3.11805385274729
"120"," Canada",1977,23719.05,361067525644.635,108583000,15222.6807416248,4.577881491881,3.00727681909749
"121"," Canada",1978,23990.204,376171205484.039,110670000,15680.2003636167,4.61313292708974,2.94201146676273
"122"," Canada",1979,24252.856,392172205026.836,116627000,16170.1452821406,4.80879447764832,2.97387215373969
"123"," Canada",1980,24511.056,396483645203.531,116866000,16175.7063915782,4.76788923333209,2.94756168164283
"124"," Canada",1981,24763.8,407920452337.349,113472000,16472.4497991968,4.58217236449979,2.78171882164317
"125"," Canada",1982,25012.782,394686830386.677,109159000,15779.4055210123,4.36412870827403,2.76571173892618
"126"," Canada",1983,25267.944,406217911095.642,108308000,16076.4133043687,4.28637961204916,2.66625367916136
"127"," Canada",1984,25542.032,430021173954.82,110912000,16835.8247282292,4.34233266953859,2.57922183179875
"128"," Canada",1985,25843.476,454381777065.871,109587000,17582.0689548833,4.24041255131469,2.41178245984353
"129"," Canada",1986,26176.653,467570097463.536,105596000,17862.1039696533,4.03397638345896,2.25839934103645
"130"," Canada",1987,26537.301,486910501231.2,112286000,18348.1545930839,4.23125170114323,2.3060911546593
"131"," Canada",1988,26914.365,511186599546.195,118446000,18993.0767285869,4.40084690833315,2.31707951861708
"132"," Canada",1989,27291.856,521506077456.765,120090000,19108.4870686979,4.40021374874615,2.30275360520522
"133"," Canada",1990,27657.79,521968558082.589,122737000,18872.3885054659,4.43770091536598,2.35142515960856
"134"," Canada",1991,28009.467,511521876266.176,122458000,18262.4637686314,4.37202178820468,2.39399340833426
"135"," Canada",1992,28349.228,514445635554.64,127529000,18146.7246852239,4.498499923878,2.47895970314739
"136"," Canada",1993,28676.325,525037922533.687,130330000,18309.1076884394,4.54486409956646,2.48229688573853
"137"," Canada",1994,28991.24,549145353704.463,123941000,18941.7683998499,4.27511896697071,2.25697985358358
"138"," Canada",1995,29294.899,563569340854.764,125386000,19237.7977085623,4.28013081731396,2.22485488316003
"139"," Canada",1996,29586.368,571922145354.417,127593000,19330.5966232292,4.31256043323736,2.23095050675003
"140"," Canada",1997,29866.502,596189823489.389,131779000,19961.8228974183,4.41226763013626,2.21035305884159
"141"," Canada",1998,30140.562,621268938786.609,141047000,20612.3873465468,4.67964067823287,2.27030503529561
"142"," Canada",1999,30415.664,655854199994.98,140555000,21563.0406751922,4.6211386343563,2.14308302060238
"143"," Canada",2000,30697.425,690314735468.532,145755000,22487.7081862251,4.7481181239143,2.11142820095058
"144"," Canada",2001,30986.788,702986277180.747,143357000,22686.6455852329,4.62639109287481,2.0392574457487
"145"," Canada",2002,31283.746,724379411045.351,141577000,23155.1365698133,4.5255769561612,1.95445919419066
"146"," Canada",2003,31591.631,739464683520.15,150855000,23406.9802701909,4.77515706612299,2.04005685953614
"147"," Canada",2004,31914.08,764435042124.404,150627000,23952.9086260486,4.71976632257612,1.97043557267338
"148"," Canada",2005,32253.092,789695820669.821,153551000,24484.3446535241,4.7608148700906,1.94443222290018
"149"," Canada",2006,32610.984,814203890327.289,150050000,24967.1672074442,4.60121043878958,1.84290448354016
"150"," Canada",2007,32985.806,834543657980.071,152932000,25300.0838597084,4.63629720007448,1.83252246347611
"151"," Canada",2008,33369.898,842992737058.349,148616000,25262.0711354392,4.45359467385846,1.76295706317234
"152"," Canada",2009,33752.618,822248249972.199,140152000,24361.0214168335,4.15232975409493,1.70449739485294
"153"," Canada",2010,34126.24,851150592856.793,136116000,24941.2356256298,3.9886023189194,1.59919996698988
"154"," China",1960,718417.719,501926100235.299,219595000,698.654956525785,0.305664788315167,4.37504644402942
"155"," China",1961,730717.623,439984498932.716,158050000,602.126574046944,0.216294222316847,3.59217200568172
"156"," China",1962,743335.089,450642311473.84,128975000,606.243830195186,0.173508558802879,2.86202597306461
"157"," China",1963,756866.561,490184844003.36,129032000,647.650285085537,0.170481834776157,2.63231312796598
"158"," China",1964,772081.417,541631652340.367,130230000,701.521420428601,0.168673921082082,2.40440157877188
"159"," China",1965,789479.371,596998587401.88,142163000,756.19276365092,0.180071836227878,2.38129541677291
"160"," China",1966,809257.088,647839611589.219,158057000,800.536221672512,0.195311233406213,2.43975510562359
"161"," China",1967,831111.861,632390867981.983,136351000,760.89741664989,0.164058541814024,2.15611905395011
"162"," China",1968,854407.411,628927942947.367,146979000,736.098417277617,0.17202449101884,2.33697678165176
"163"," China",1969,878230.978,686480757280.498,179610000,781.66310967967,0.204513396246881,2.61638797730511
"164"," China",1970,901855.973,762281456892.415,236167000,845.236356706388,0.26186775612784,3.09816010693451
"165"," China",1971,925171.603,802430220510.596,265128000,867.331225805681,0.286571701012315,3.3040629979177
"166"," China",1972,948186.403,832970136871.205,280244000,878.487746961718,0.295557918900046,3.36439432333853
"167"," China",1973,970445.614,905469964789.216,294420000,933.045553224805,0.303386398735375,3.25157113376519
"168"," China",1974,991439.284,925110572388.457,299233000,933.098564196551,0.301816767631733,3.23456469887095
"169"," China",1975,1010849.532,976723969227.817,344804000,966.240709727922,0.341103190024527,3.53020925935294
"170"," China",1976,1028454.602,997563580604.313,360079000,969.96365096173,0.350116572282108,3.60958446159259
"171"," China",1977,1044442.302,1067739264139.34,395576000,1022.30564780335,0.378743755631606,3.70479960122904
"172"," China",1978,1059436.235,1177810493436.26,439755000,1111.73325446648,0.415083971523779,3.73366515624271
"173"," China",1979,1074328.058,1265345781604.56,454477000,1177.80204303718,0.423033724769385,3.59172177761311
"174"," China",1980,1089806.727,1300149689928.37,447971000,1193.00941875024,0.411055454973348,3.44553402942919
"175"," China",1981,1105937.752,1379962158150.68,445761000,1247.77561454533,0.40306156399298,3.23024075237958
"176"," China",1982,1122639.233,1491016369612.86,481961000,1328.13492151745,0.429310668853135,3.23243265347342
"177"," China",1983,1140257.692,1609679045558.5,508762000,1411.68005868492,0.446181598746891,3.16064249829058
